unique_hash,text,drug
404fa2f16d42dc5affdfe1ccc490e5aa7d7b28d7,Weve had some success stories with xeljanz when nothing else worked failed remicade entyvio etc see Suzyqs husbands story wwwhealingwellcomcommunitydefaultaspxf38m3600816  What scares you about surgery Weve had a number of posters here who have done it and are living excellently afterwards without medications or worries about future flares Its a good thing to consider seriously after failing so many treatments I do worry when somebody says they want to avoid surgery at all costs we had a poster die due to putting it off for way too long ChironJoseph a few months back Moderator Ulcerative Colitis John  40 UC Proctosigmoiditis Rx Remicade 5mgskg6wks daily 75mgs 6MP 48g genericLialda and rowasa You cannot spell sUCks without UC,entyvio
558eab0859c854e88236f77d90b2d425396d6fdc,Tried getting this in Canada but they wont budge Pancolitis UC since Sept 2009  Averaged 814 BMsday over this time with no response or remission Therapy Salofalk5ASA enema and oral  4g each Clinical Trial Drugs Failed Therapies Entyvio AntiMAdCAM Antibody  225mg injection4 weeks study drug Remicade  400 ml Nicotine patches  21 mg Imuran  100 mg,entyvio
e7ee61c2ad370b3792f393f537b4a82b4a42660e,Connect with my friends and family on The Internet Sewing for my dolls make clothing for Great grand daughters and play with my 2 cats Charlie 3 and Jelly 3  Joan 83yr old Greatgrand mom DXed with UC in 2012 Failed meds LiadaAsacol6MPRemicade and Humira Have been on Entyvio for a year with much improvement Less trips to potty  less accidents and I was able to gain back 15 LBs Supplements TumericVitB 12VitCD3 Reuteri Pearls and DAO if needed,entyvio
163797cd18f49444a7633ee8a5e39a84e407c93f,Hey guys I flared back up in June due to antibodies to Entyvio I had gotten down to 5mg but was bumped back up to 15mg I started tapering down again in August and I am currently at 6mg We are tapering slower this time only 1 mg a week from 10 down I am however feeling like I am really having a harder time this time around I also think my thyroid may be off My hair is falling out profusely my tongue is swollen my normally very regular period was 6 days late and some other things like fatigue that are crossover symptoms Those of you that ended up needing an endocrinologist did you ask your pcp or you gi for a referral Also do you think I would benefit 36yr old mother of 3 Moderate Pancolitis 1317 Hosp 1 week on Solumedrol Delzicol Apriso pred then switched to Balsazide 750 mg and Uceris 9 mg 3 wks Minor flare in August flare since Oct 2017 Acute pancreatitis from mesalamines allergic to Humira Started Pred to bridge still on it Entyvio started 11218 Flaring worse right now 15 mgs of Pred,entyvio
c6d6a33f528cf8d40ae29f61f0a15a724f4a7de9,Awesome Gives us hope female Canada IVIG pentasa 6 Entyvio infusionsno response discontinued UCCrohns  tested positive for MAP antibodies  mycobacterium PG remission Flaring for almost 3 yearsin a bad way due to 5 abx treatment gone very wrong Sigh,entyvio
3097e8d96490564b8828c0c78d8bc68ddde92c95,From exploring the forums if one thing is clear its that no 2 patients symptoms are the same But I find myself at a cross roads of starting biologics without having a 100 certainty I do in fact have crohns In short since 2015 I have had 23 flare a year of severe RLQ pain nausea vomiting and diarrhea loose to watery Each flare is resolved with 23 weeks of steriods and diet modification I take Lialda for maintenance but still experience RLQ pain almost daily and nausea and vomiting after I eat Since 2015 I have lost approx 70lbs Last colon and EGD scope was 2016 with non specific inflammation and nothing to impressive on the biopsy My last major flare was in June after being off the Lialda for a few months at that time my WBC count was 17K and the CT showed enteritis  ileus in my small bowel with possible colitis My old GI was somewhat leaning to IBD but reluctant to start any treatment I felt it was best to get a second opinion my current GI is fairly certain based on my history and CT findings that I most likely have crohns in my small bowel that is not accessible to the scopes He feels its best to start Entyvio being that I continue to have symptoms RLQ pain low grade temps nausea vomiting after eating says he has had patients with the same story So my question to the forum has anyone else been diagnosed based on symptoms and non specific lab and imaging Even though its safer of the biologics it does not come with out risk and of course the expense and want to do whats best for myself and family,entyvio
b623f1363ec20ef89b2e78bc4b9ccbba84d275cd,Sorry for the delayed response Well overall my UC isnt as bad as some people Ive seen with it I havent had blood present in any BMs or the sort since my first true flare up back in SeptemberOctober According to my GI there was some improvement in what he saw and overall the Entyvio is the first drug that has actually truly helped me Not counting the Devils TicTacs I have absolutely noticed a massive quality of life improvement since going on Entyvio in January One of the main motivators for me getting this surgery was due to the descript ion my doctors gave me They basically said that once I have the surgery after recovery time that its all good No drugs no infusions and essentially no more UC because well I dont have a large intestine anymore As I look around I notice a lot of people with Jpouches who are still on UC forums and pages Now I know a lot of those people are there to help others still with the disease but I wonder Im trying to get a truly accurate picture of life postop I mean why would someone who no longer has a large intestine still be on entyvio and meslamineWhen I tried to ask this person they never responded Does UC truly go away after this surgery or is it one of those asterisk kind of situations quoteHow bad is your disease Has it reached a point where most of the potential complications wouldnt be any worse than what you have right now or are the symptoms liveable with As I mentioned earlier my disease isnt as detremenal for me as it is for others but I do have a lot of problems still I still go more than I feel I should I am always fatigued and have a screwed up sleep cycle a lot of this has to do with the drugs I am onPrednisone being the primary offender Where I am on the cusp the most is that I am 22 years old I graduated college a month ago and am trying to start my professional career I am even in the hiring process for a position right now that If I got it it would be a year of solid training before graduating the academy A flare up would be devastating and would ultimately result in me either resigning or being laid off ADA wouldnt protect me given that its a sworn position apparently My doctors and parents both feel its best I just have this surgery and be done with it if it truly means that UC the drugs flare ups etc are all behind me for good I just really do not want to do this surgery and see my quality of life go backwards,entyvio
ac9177bfb2bc50594e4db01e8b7adb765f681bdb,Hello everyone Hello colitis91895 and everyone on this thread I am researching this topic myself as I am interested in potentially getting umbilical cord stem cell therapy done Colitis91895  what clinic did you got to in Panama I got in touch with the Stem Cell Institute in Panama and they quoted me 23k for the umbilical cord stem cell treatment includes hotel accommodation and transportation for two people One thing I though was interesting is that the doctor I contacted said I did not need to stop Remicade to do the stem cell treatment but then I read that you had to stop Entyvio Im actually on Entyvio now As for the US I went to my functional doctor last week and he said he performs umbilical cord stem cell therapy in his patients The umbilical cords come frozen in a cold pack Its done via an infusion He said multiple treatments are needed about 2 and quoted me 5k for the first one and 45k for the second one He also said that stem cells are not regulated by the FDA so one does not need FDA approval Thats probably the quality control is so difficult I had no problem finding clinics that conduct the stem cell therapy umbilical cord but I couldnt find many people who have tried it I was hoping that by posting here someone that has done it would share their experience Former CFSME  Fibromyalgia sufferer Symptomfree for 5 years Fibromyalgia completely gone with immunizeLABS PainRelief Developed UC Past treatments Chinese herbs Ayurveda acupuncture meditation Meds Prednisone almost killed me Mesalamine hydrocortisone enemas did nothing for me Hospitalized with severe pancolitis Remicade helped 50 then stopped working Currently on Entyvio,entyvio
9c1dfc15cfdad17435135acb01db1fae323711e0,Before FMT there was less blood stools were starting to get more formed but frequency was about the same Now theres a lot more blood especially in the morning stools are mushy or in pieces and frequency is the same Hard to really call this progress DX leftsided UC 2015 3 fulminant flares since then Started FMT clinical trial Feb 2018 Dx wmycobacterium avium paratuberculosis MAP Sept 2017 Stopped AMAT  6 weeks due to intolerance of meds Others Entyvio every 4 weeks Low Dose Naltrexone 3mg at bedtime natural ferments Current status lingering rectal bleeding otherwise healthy,entyvio
a57cafbad217213c0355c99316a3aebfb9a39863,Im starting Entyvio tomorrow late afternoon The nurse said plan on being there for 3 hours My dad wants to come with me bc he would feel better I told him its not like Im getting chemotherapy or anything Im more embarrassed if he goes and Id rather just sit there and read or whatever It will make me feel less of a big deal But Im letting him come along bc I know its just a parent thing Im wondering if I shouldnt make plans for the next few days Compared to the other infusions I feel like this might have less side effects Is that me just trying to be optimistic I kind of feel like its going to be a breeze Has anyone had that experience or do most experience side effects,entyvio
ada040089046a41bd7f00dcb3d52b717c6418caa,NCOT httpjamajamanetworkcomarticleaspxarticleid181408 httpwwwadaorgenscienceresearchscienceinthenewscannabisandperio Pancolitis UC since Sept 2009  Averaged 814 BMsday over this time with no response or remission Therapy Salofalk5ASA enema and oral  4g each Clinical Trial Drugs Failed Therapies Entyvio AntiMAdCAM Antibody  225mg injection4 weeks study drug Remicade  400 ml Nicotine patches  21 mg Imuran  100 mg,entyvio
d4aafaea6b563eff0c88e5988105bc6457d6db42,Conner77  I am keeping my fingers crossed that you see success with this I will follow your journey closely Surgery has been recommended for my son who turns 21 in 2 days We are desperate for an alternate solution Family of a 20 year old diagnosed with Ulcerative Colitis in Fall 2015 Tried uceris lialda remicade  canasa Entyvio every 4 weeks with imuran since June 17 Still no remission,entyvio
d5fa7ebad2d0e0123f0ad65c6d2aca3828162b7b,I understand that feeling of being tired of the constant fight and just wanting to give up Ive been there and havent gone thru half of what youve been thru I know theres nothing anyone can say to make you feel better I just wanted to offer you support Note thats different from feeling sorry for you because no one wants to feel pity from others I didnt know quite what to say to bulls post so I had to sleep on it I still dont But this is after all a support forum Thats what we come here for and being derisive of others when theyre feeling down isnt cool IMO I think forums are the perfect place for the saying if you cant say something nice say nothing at all UC pancolitis DX March 2016 Partial Colectomy for diverticulitis Sept 2014 Apriso 375 g x 4day Canasa  Uceris foam as needed Supplements Zinc Lglutamine Probiotics Reuteri pearls VSL 3 Folic Acid CoQ10 turmeric boswellia milk thistle NAC reservatol colostrum glycine Started Entyvio 32917 Constant flares since March 2016 only relieved by Prednisone,entyvio
9c15f9f2b36d4451442522136cf51b7e3fba8cfb,Electrolytes are certain nutrients or chemicals present in your body that have many important functions  from regulating your heartbeat to allowing your muscles to contract so you can move The major electrolytes found within the body include calcium magnesium potassium sodium phosphate and chloride IBD can result in electrolyte imbalances for many reasons ranging from dehydration due to high output ostomies diarrhoea sickness heat or lack of absorption due to scarring in the intestines or resection It is important to replace the missing electrolytes so that you become rebalanced How this is done will depend on the severity of the imbalance If you have a minor imbalance then dietary changes may be possible or drinking rehydration solutions is another option Treatments for more severe cases include fluid replacement intravenously during a hospital stay  Posted by IBD SuperHeroes 1 comment  Email This BlogThis Share to Twitter Share to Facebook Share to Pinterest Labels IBDSuperHeroes  Awareness  blog  Colitis  Crohns  Crohns Disease  Crohns Disease definition  IBD  IBD definitions  IBD terms unmasked  Ulcerative Colitis  Ulcerative Colitis definition MRI  Definition Magnetic resonance imaging MRI is a type of scan that uses strong magnetic fields and radio waves to produce detailed images of the inside of the body An MRI scanner is a large tube that contains powerful magnets You lie inside the tube during the scan MRIs help identify active disease in IBD and can help locate strictures narrowings in the intestine and other complications such as abscesses  Posted by IBD SuperHeroes No comments  Email This BlogThis Share to Twitter Share to Facebook Share to Pinterest Labels IBDSuperHeroes  Awareness  blog  Colitis  Crohns  Crohns Disease  Crohns Disease definition  IBD  IBD definitions  IBD terms unmasked  MRI  Ulcerative Colitis  Ulcerative Colitis definition Immunosuppressants  Definition Immunosuppressant drugs are a class of drugs that suppress or reduce the strength of the bodys immune system Examples of Immunosuppressants Azathioprine Imuran and mercaptopurine Purinethol Infliximab Remicade adalimumab Humira and certolizumab pegol Cimzia Methotrexate Rheumatrex Cyclosporine Gengraf Neoral Sandimmune and tacrolimus Astagraf XL Hecoria Natalizumab Tysabri and vedolizumab Entyvio Ustekinumab Stelara  Posted by IBD SuperHeroes 1 comment  Email This BlogThis Share to Twitter Share to Facebook Share to Pinterest Labels IBDSuperHeroes  Awareness  blog  Colitis  Crohns  Crohns Disease  Crohns Disease definition  IBD  IBD definitions  IBD terms unmasked  Ulcerative Colitis  Ulcerative Colitis definition Adhesions  Definition Adhesions are most commonly caused by scarring from surgery and less commonly from scarring due to active Inflammatory Bowel Disease Adhesions are fibrous bands that form between tissues which can cause pain and blockages in the intestines  Posted by IBD SuperHeroes No comments  Email This BlogThis Share to Twitter Share to Facebook Share to Pinterest Labels IBDSuperHeroes  Awareness  blog  Colitis  Crohns  Crohns Disease  Crohns Disease definition  IBD  IBD definitions  IBD terms unmasked  Ulcerative Colitis  Ulcerative Colitis definition Resection  Definition A bowel resection is a surgical procedure in which a part of the large or small intestine is removed  Posted by IBD SuperHeroes No comments  Email This BlogThis Share to Twitter Share to Facebook Share to Pinterest Labels IBDSuperHeroes  Awareness  blog  Colitis  Crohns  Crohns Disease  Crohns Disease definition  IBD  IBD definitions  IBD terms unmasked  Ulcerative Colitis  Ulcerative Colitis definition Proctocolectomy  Definition Proctocolectomy is the surgical removal of the rectum and all or part of the colon  Posted by IBD SuperHeroes No comments  Email This BlogThis Share to Twitter Share to Facebook Share to Pinterest Labels IBDSuperHeroes  Awareness  blog  Colitis  Crohns  Crohns Disease  Crohns Disease definition  IBD  IBD definitions  IBD terms unmasked  Ulcerative Colitis  Ulcerative Colitis definition Hemicolectomy  Definition A hemicolectomy involves surgery to remove the right or left portion of the colon,entyvio
b0225f6725e15f69f9bf954450441412ded7c79e,I think it depends on your body type a bit I have always had a hard time gaining weight even before colitis and mine was gone within a few months of just a lower dose Some report longer I think the facial hair bothered me more until I finally just shaved it a bit Now I dont have those issues either It does get better 37 Moderate Pancolitis 1317 Hosp 1 week on Solumedrol Delzicol Apriso pred then switched to Balsazide 750 mg and Uceris 9 mg 3 wks Minor flare in August flare since Oct 2017 Acute pancreatitis from mesalamines allergic to Humira Started Pred to bridge still on it Entyvio started 11218 Antibodies gone to every 4 weeks Down to 5 mgs of Pred,entyvio
a1fcdea74f40c5fea67e4c5186d7bfc97bf3d567,Ps i re read your post and it sounds more likely that it could come from prednisone than entyvio pred changevcs hormones and any hormonal disruption can cause temporary hairloss  added to,entyvio
76766d28bf145118ee26c14cf9a4f76852afe3ea,Reply posted for supersmalls Thank you for sharing your experience Ive decided to start taking Entyvio and should be starting my first infusion next week I will definitely keep an eye out for side effects Fingers crossed I will see an improvement,entyvio
9e94c38585be70d0ea2ed9d86d6fdff976edc4b6,Ive got to agree with iPoop Longterm pred simply isnt a viable option I didnt feel that bad before surgery either but that was only because I was on 40mg pred Which while I felt quite good on it wasnt actually doing a thing to heal my colon The pathology report showed that I had severe chronic and acute inflammation throughout my colon As a test could you get off pred in summer and still be okay I tended to always flare worse in winter too most of my acute flareups over the years have happened in autumn or winter Dx Crohns in June 2000 Yay   Tried 5ASAs azathioprine 6MP Remicade methotrexate Humira diets 1st surgery 20213  subtotal colectomy with end ileostomy 2nd surgery 10715  ileorectal anastomosis Stoma reversed and ileum connected to the rectum Current status Chronic flare Do I have any other kind Current meds 50mg 6MP Entyvio started 31116,entyvio
ad9fa9f8a10dfa7fb4418332e69a0abd209cab7d,Glad to hear Contentprof Ive been well myself Go in for my next infusion in a few weeks Pancolitis DX Fall 2007 Currently on Imuran Lialda Entyvio,entyvio
05a169b5bef4f50506b9533205592b2832a9ccfb,Im getting ready to start Stelara sometime in Sept I was also wondering about fistulas etc Its strange they didnt let you stay on it The last 3 drug studies offered to me indicated that if I had success after the closing they would continue to provide the drug to me Seems rather cruel to take you off it to get sick again female Canada IVIG pentasa 6 Entyvio infusionsno response discontinued UCCrohns  tested positive for MAP antibodies  mycobacterium PG remission Flaring for almost 3 yearsin a bad way due to 5 abx treatment gone very wrong Sigh,entyvio
bfd58f8359a05206d37ca7d25807aa867016da04,Reply posted for Zepolv07 You came to the right place Youll will see people with all different degrees of Crohns You have my sympathy getting it at such a young age I got ulcerative colitis at around age 42 Nothing helped and I eventually had a proctocollectomy Thought my problems were over then I got Crohns Its not as bad as the UC was but still awful Was on Remicade for two years but it did nothing Now trying Entyvio I hope it works Good luck to you,entyvio
ad353dc0e21fdda3d35b176ae12a7fe5e8cfd135,Doesnt Entyvio have some sort of financial assistance program I think Ive seen some talk about it on these forums here and there 27 years oldFemale  Diagnosed December 2017 Ulcerative PancolitisCMVAnemiaLiver damage Remicade  FAILED Prednisone  FAILED RESPONSE Valcyte Tacrolimus bridging biologic Entyvio currently on dose 3 Uceris x2 Iron Infusions Blood Transfusion Current Case Study MemberPatient  UT Southwest in Dallas TX,entyvio
752801317eaf3b6cb6fa93de80e8aabb5b4b6947,Hello folks Thanks F27 Lab and scifigal Bull  I know you mean well and I certainly wouldnt disagree that I was lonely But nobody gets admitted to a psychiatric ward just for loneliness particularly an NHS one I was literally suicidal and looking up plans on the Internet I dont think you understand how withdrawn depression makes you and its not something you can overcome with willpower If I could have eg made conversation with the staff at my local cafe like some of the other regulars did I would have done so As it was by the end I was struggling even to place my order without wanting to cry It is a bit of a vicious circle in a way Depression makes you lonely but depression also makes it impossible to socialise Or to gain any pleasure from it if you do I mean my brother had a girlfriend and friends so he wasnt alone But that wasnt enough to protect him from his issues or obvious lifelong tendency towards depression At any rate guess who still hasnt seen a doctor folks Yep  But I have been granted leave for this afternoon A staff member told me yesterday that as I was an informal patient ie Not sectioned I basically could go out whenever I wanted to Thought that sounded a bit too good to be true and to my complete non surprise it was I desperately need more clothes and a few other things but also I would rather like to see the market square again Its pretty at Christmas with all the trees covered in lights Id rather go on my own but the guy sounded dubious about it An occupational therapist just knocked on my door and asked if I needed anything yes toilet roll desperately Im down to using paper towels now which is ridiculous I actually ran out last night and asked a nurse for more a girl overheard me and said she could give me some Which was really nice of her but unfortunately it wasnt nearly enough  not her fault at all Anyway the OT mentioned something about standard issue so I let her know I had Crohns disease was going about 8x a day and that the standard issue wasnt nearly enough Anyway Im getting tired now Would like to write about the patients some time but that may be too long to do by phone In the meantime I took a few photos earlier which I will upload later Later everyone p Dx Crohns in June 2000 Yay   Tried 5ASAs azathioprine 6MP Remicade methotrexate Humira diets 1st surgery 20213  subtotal colectomy with end ileostomy 2nd surgery 10715  ileorectal anastomosis Stoma reversed and ileum connected to the rectum Current status Chronic flare Do I have any other kind Current meds 50mg 6MP Entyvio started 31116,entyvio
f039020676195cb7556525d8d54c5f520be028ae,And colitis research  please keep me updated on here as you go through the process as well Its nice although crappy having someone go through the exact same thing in the same timeline Of course that is as long as you dont mind giving updates 27  Diagnosed summer 2014 Left sided colitis Currently on 200 mg azathioprine 25 mg taper of prednisone three doses entyvio anucort suppositories I glutamine and probiotics,entyvio
