Review ID,Review,Rating,Total_thumbsup
20,"I don't know whats going on with this app, but I'm encountering so many problems now. The player is not visible nearly all of the time which makes it VERY difficult. Never used to have these problems. Needs to be fixed for Android users.",2,0
21,The only thing I don't like is I can't pick the song I want to play and I can't change from shuffle play to just playing from the first song to the last,5,0
22,"It works for a little then after a while it doesn't. When pressing the play button for a song a whole different song plays something I've never heard before, or pressed on but it shows the song I've requested playing please fix this.",1,0
23,"Why i am getting hindhi ads, which i could hardly understand, can't even you make advertisment based on the region of user, based on location access?",1,0
24,na,,
25,"I have been using the app for podcasts, and I am enjoying it. However, some sometimes the media player does not appear when one transitions to a different podcast channel. To rectify this, I have to relaunch the app. Please see to this problem.",4,0
26,Like this app forever but the ads are disturbing ð pls take the ads if anyone not have any money what he will do he can't pay any premium so do like that everyone is there nowadays so pls make my demand and Spotify 4e,5,0
27,"Slowly getting worse, my Spotify has been getting super buggy. A lot of random pauses and disconnects with my Tacoma. Bugged so bad it started playing music without knowing it and I could not pause or pull up any screen that would allow me to pause the music. Had to restart my phone, a S10+.",2,0
28,On time and always on point,5,0
29,Very good and the exact app I was looking for. 1 star not given because of too many ads and some songs are not there.,4,0
30,this is sooooo annoying!!! its been 2 weeks music keeps on stopping after 1 second. 1 SECOND!?!?! is this what I get for paying??? come on! spotify. i've tried a lot of trouble shooting. *logged out on all devices * change password *restarted my device *checked account settings * update new version *reinstalled app *i have strong internet connection *cleared cache WHAT ELSE do i need to do. help me please. I really like this app but if this keeps going then goodbye!!!,5,0
31,can't like anymore songs,1,0
32,"Best music app very good quality songs, they sometimes give 30mins without interruption, there are hundreds of not thousands of songs which are in high quality I really recommend downloading",5,0
33,"I like this app because of the wide variety of music, but a flaw to this app is the amount of ads during and after the music or podcast you listened to, and the 5 skips per hour. Other than that this is a good app.",5,0
34,"It's a good application. When I'm searching for peace by listening song I can find it here.but I think it needs some improvements.. such as shuffle on off, playlist change,and many more.",3,0
35,"Love it. Sadly you have to buy a subscription to fully enjoy the service. Love the blended mix between songs. Was told sound would be better when bought a subscription, but it's still the same.",4,0
36,It is a great music app it's my favorite and I know you will like it but one thing I don't like is you have limited amount of skips eatch hour and I recommend getting the app it's great to listening to songs with your friends and you :) and I love how you can make playlists I have one with over 50 songs!,4,0
37,"This is absolutely ridiculous. I lost all my music, ended that subscription and account, made a whole new one with a new subscription and can't like songs, can't add podcasts or playlists. Severely unimpressed",1,1
38,Love it but why did they add it where if I play the song on my tv they show a picture of the artist's profile picture as the background? I liked the solid color with the album cover in the corner better. I couldn't find a way to turn it off either. Love Mac DeMarco but it jumpscared me seeing his face out of nowhere. Need an option to take it off. Ruins the aesthetic.,4,0
39,Probably the best app I found in Play Store for music.I love every feature in this app and my opinion is that you must add calller tone and ringtone option in Spotify because Spotify have all songs and other apps don't so if you add this feature for paid listeners I'll be amazing.,4,0
40,The app is not working on moto g52 5g. The app opens and nothing happens it will be in opening app state only.,1,0
41,So bad I just want my songs so when I made a new play list to get rid of all the songs they added it literally put 500 extra song I rate one or zero,1,0
42,"It’s the best App I have ever used for listening music. There are numerous options, playlists and specially blends.Spotify really knows me well. It creates playlists by my favourite songs which is appreciated. Artist mix,genre mix,mood mix these are so good. I like using Spotify. But I wish there were a few more advantages for those who use a free account. For example skipping more than 6 songs.",4,65
43,NA,,
44,Na,,
45,"Please help me how do I fix this I can't open the app the logo is stuck in the screen, I tried restarting and reinstalling the app and it doesn't work. Fix this.",1,0
46,This is one of the best music app of all time it's amazing if I could do 3000 out of 100000 I would give it a 100000000000000,5,0
47,Have same issue as others... App keeps freezing and crashing. Is there something with the recent updates as the app plays and stops constantly?,1,0
48,For a pricey monthly fee the app should work the way it's expected to.. but unfortunately it no longer does... Constantly pausing when you don't want it to no pause button visible when you do want to pause no currently playing information screen So no way to skip forward back etc... And when the currently playing screen is available (often have to uninstall reinstall) still does not rotate to landscape mode ... Been waiting for this basic feature for literally years,1,0
49,The recommendations are always for popular stuff no matter what you listen to. Worst recommendations of all time. There is little to no effort put into these. If you made a playlist exclusively with 90's Norwegian death metal this dumb app would trip over it's dick racing to suggest Island in the Sun by Weezer. The now playing bar only exists most of the time making it almost impossible to use without restarting your phone,2,0
50,How long will it take to fix the payment option. Being on the free plan is not a nice experience. I want to get back on Premium but its failed now for the 2nd month.,1,0
51,Best music app....best collections.....they wil create playlists specially for youu...I loved it best app ever,5,1
52,I really love it my favorite thing about this app is the lyrics ð it's amazing I love singing along with my favorite songs,5,0
53,"I absolutely love Spotify and I'm obsessed with music, but I only rated it 4 starts for a reasom. Ok so basically my Spotify was doing this weird thing it like had only one song in all my playlist and literally nothing would play, and I had no idea how to fix. And whats weird is that it would work on my other devices with my Spotify account just not on my phone. So it might be my phone but idk. And another thing it does is it just randomly kicks me out of the app sometimes. Well thats all I have",4,0
54,"Not bad but not good. I wanted to listen to a song that I like but suddenly it played a different song. I tried adding my fav songs to my playlist but it played a song that I did not add on my playlist. Well, that's okay.",1,0
55,Nice music quality,5,0
56,"I love ð this app . It has ads but not that level, that's the reason. And you can choose your favorite artist. You can enjoy different Playlist in just 28 mb. And resso use 68 mb. So I prefer Spoti",5,0
57,Best song app all over,5,0
58,"2022.07.08 Would like to be able to save queue as playlist. Would like to be able to scroll back in queue an arbitrary number of titles. When playlist is playing, be able to add songs to queue, rearrange playlist sequence, and save changes to playlist? prompt at end of playlist... ð¤·",4,112
59,"App stuck on loading black screen with Spotify logo, restarted, reinstalled, no luck! Using Note 20 ultra",1,0
60,Very annoying and disturbing,1,0
61,nil,,
62,Sometimes it is not working,1,0
63,Spotify has literally accounted for everything when it comes to your best music experience. It's so easy to use but there's still so many features and I honestly didn't realize how much I needed it until I got it. Would recommend above apple music as it's more aesthetically pleasing and has way better features. GET SPOTIFY!!! (I do have premium) but even with ads it's still good.,5,1
64,This is an amazing app I use it all the time and it's very affordable. If you are looking for a app to lift your mood Spotify it the one you go for.,5,0
65,Excellent music experience,5,0
66,"I use to love this app, but I soon hated it because it keeps on playing music and other songs that isn't on my playlists or my liked songs, I've turned off the option for it to do that ( play similar Songs when your playlists ends. Something like that ) but it doesn't work, I don't recommend.",1,1
67,"This app worked well until v8.6.98.900, when trying to install newer versions of the app, my pioneer car system wouldn't work with spotify anymore. This means that I have to upgrade all my apps manually to be able to keep the last working version of their app. Hope spotify will fix their broken app soon.",1,0
68,"For an app that has been available for 8 years, the amount of issues I have is frustrating. Like some other say, it stops playing randomly while in the background, even though I allow background data use and all that. At times while running in the background, the app dissappears from my toolbar and I have to open it independently, then I have no way to click on what is playing at the bottom so I must force close it.",2,6
69,"Used to be good. It dont let me play my playlists, pause, stop, start and go back a track from my phone (samsung). I emailed spotify and asked help from a member but nothings working.",1,0
70,"I love listening to music (I use it as a coping mechanism), so I love Spotify so much too. But, about 3 days ago (?), my Spotify wouldn't load, it would just stay on the spotify logo screen thing. Tried installing it and uninstalling it for 5 times, restarted my phone 2 times, cleared the cache/data for about 8 times, and I still can't open it (also waited for an hour for it to load).",1,0
71,The load time is wonderful and very short and you don't have to wait long to hear the next best thing.,5,0
72,Nil,,
73,I can't even listen to my favorite songs bc of the shuffle and I tried different accounts and it doesn't even change even a little,1,0
74,Works super well.... When it works... The app doesnt seem to want to load 3/4ths of the time. Ultra laggy. Locks up my phone occationally... Makes no sense. Otherwise. Features are plentiful and you can find most anything.,2,0
75,"Dude the app is good and all but just today I was using it and later in the day I check it and it won't let me play my playlist, and random songs are added toy playlist I can't even select a song I want to play I can only listen to it for a short period of time, and it says you added in your playlist and then bottom part says we added I don't know what to do I just want to listen to the full songs without random bots adding random songs that I don't even like and have any interest.",2,1
76,"What the hell? I'm having the same issue as The Patoto Man, minus random songs being added. I can't even choose any song at all that I want to play. I can't view them properly, I can't play them directly and it only starts a 10 second snippet of the song. I can't even listen to any music I want, and can't even have playlists play the music I want. And the big one, it all seems to just be a Samsung/ Google Play Store issue. I can play just fine on Apple mobile devices like iPads.",1,0
77,"I love Spotify, I listen more and more, music an podcasts. We have a premium account, it's worth every penny.",5,0
78,"I uninstalled this app because I don't have any use for it anymore and as soon as I did that, the ads for it appeared on YouTube videos Just how freaking desperate do you have to be to promote it this much Please buzz off",1,0
79,I hate this If i have spotify free i can only listen to the half of the song on mobile hate this f#$× u,1,0
80,"Very glitchy, audio randomly drops out or stops playing. Control bar disappears from the bottom of the screen and unable to pause, stop or skip audio without closing out of the app.",1,0
81,In the middle of songs its pauses and then restarts the whole song. You have to go into the app and play the song again.,4,0
82,"Its good but when u want to play a song , they give other songs yo listen to instaed of the song and sometimes when u trying to get to the song the skips are limited .It has the same effect on the playlist u cant enjoy ur song without other songs interfering and eepecially adding songs u dont like to ur playlist",3,0
83,"I really like Spotify, I don't have proplem with ads but shuffle and only 6 skips per hour is sooooo annoying! I neither want to pay for Spotify premium nor switch to another app, and this makes Spotify really hard to use.",3,0
84,na,,
85,I will give less than one star the app plays too many adds after each and every song As I have not purchased premium this gives too many adds which irritate a lot in your mood.,1,0
86,I love to hear Ads ð❤its so SATISFYING.... But Sometimes musics play and INTERRUPT the Ads ð....i request to Fixed this Problem.... So i enjoy ads Peacefully.... Great,4,0
87,Great music quality,5,0
88,"Great song selection, amazing audio quality. However I have problems everyday with casting to Google home, connection issues, and I lose control of the volume. I need to open the app to be able to change the volume which is an inconvenience. I also think there should be an option to 'shuffle all songs' rather than having to put them all Into a playlist, or 'like' every single song which is very time consuming. Making playlists could be easier too, selecting multiple albums at once for example.",3,8
89,"Had no issues with this app for years being a premium user but now really struggling with it. As someone else said before, there is now no player so can't skip, pause etc. Not sure if this is because I'm on a Samsung Galaxy? As it does come back briefly if I restart my phone ð¤·",2,0
90,Too much and too long ads.,3,0
91,"Love the app... A few small issues though.. 1. I find a song and add to liked, then look for the same song and it takes me to a whole different playlist Please fix.",2,0
92,"It was good at first, but it wouldnt let me pick a song and it had forced me to listen to an entire playlist to get to my fav song because they limited it to 6 skips per hour, why are you limiting skiping songs?",,
93,"would rate it 5. but whenever, i play something on my playlist it changes to a different song and not my playlist . i hope this get fixed soon.",1,0
94,"I love it soo much and I will rate it a 4 star, the problem is that there are constant ads, and the singing option near the lyrics doesn't seem to appear for me anymore",4,0
95,"It was good at first, but it wouldnt let me pick a song and it had forced me to listen to an entire playlist to get to my fav song because they limited it to 6 skips per hour, why are you limiting skiping songs?",1,0
96,"This app is so good and cool i am very interested to this app i loved it so much iam listening every day and night Spotify i am full supporting this app i suggested to try this app and do fun with Spotify and I just say try Spotify try it now and and are you a army , a blink so this app is very good for you armies and blinks and today is very special day for armies this is a army day love you armies love you blinks and i am so happy to this app spotify try Spotif love you Spotify ðð",5,0
97,"This app is incredible. It's very very good to use and I am enjoying my music everyday, every minute and every seconds. I love it.",5,0
98,Why dose the go from playing liked songs to songs that you haven't even looked at that's what it's getting three stars,3,0
99,"Since Disney started to pay for ads for Disney+, the non-premium version of Spotify became useless because after 1 or 2 songs you get at least 2 ads, one or two from Disney+ and sometimes one more. I will change my review if I won't get so many ads.",1,0
100,"Exceptional application for online songs. I loved the option of merging the app with inter music player of samsung. Overall, application works flows less.",5,0
101,"No commercials, and no adds no need for wifi it can use the satellite radio station to pick up or at least that's how it looks",,
102,Why this app show no internet available when both phone and wifi data is working. I already Fred up with adds now this happens all the time i want to search for song.,,
103,Keeps cutting out and not showing what song is playing,1,1
104,The sound quality is really good and I can listen to my favourite songs anytime and anywhere without any disturbance. That's really good experience ð I loved this app alot. Keep providing us the best service,5,0
105,The only downside is they rotate songs in and out so one month you can listen to that great song next month maybe not.,4,0
106,Best birthday present I have ever received from my baby brother! I listen to something at least everyday. So happy of the selection of Christian artists and music. Love finding new artists. Let just listening to great podcasts. Thank you so much for such a wonderful app!,5,0
107,Podcasts becoming a nightmare. Trying to get rid of podcasts on this app is ridiculous. Stupid things are all over the home page. You can click not interested till you're blue in the face and I'll just keep throwing up more spam casts.,1,0
108,love most of the features in the app but one thing is a bit expensive at each month subcription for $9.90,5,0
109,the videoke feature doesn't show in my device until now,4,0
110,Pretty good apps for better quality musics,5,0
111,Love this app. The style of music selection is more specific.,5,0
112,Lost download button. Can't download playlists.,1,0
113,"Everything I go to open the app in the last week, there's no play bar, and now when I go to open it, it just shuts right back down.",2,0
114,"My account was glitching so I logged out to try and fix it but now it won't let me log back in, it only shows the logo but never the sign in screen",2,0
115,Best app to stream music!,5,0
116,Spotify is awesome! I love having any obscure artist I can think of at my fingertips as well as easy access to newer things! UPDATE: Lost a star for constantly asking for a review I've already done.,4,0
117,"What's the deal here? Compared to the desktop version, this is inferior to it! Why is the ability to play any songs so bare or if not, barely free? Is there more that need to be said about this? I think I made my point clear enough!",1,0
118,Wide range of songs collection,5,0
119,"No commercials, and no adds no need for wifi it can use the satellite radio station to pick up or at least that's how it looks",5,0
120,Good app for listening music..,5,0
121,Sometimes I try and listen to a Playlist and it will play the same first song and I try to go to a different one and it goes back to the same first one... little weird.,4,0
122,"Liked songs play offline , helps with signal problems",5,0
123,Plz remove adds as because ther are continuously 2 to 3 adds at list remove 2 adds and give 1 adds,1,0
124,Am unable to use on my ph .....it gets downloaded but unable to log in,1,0
125,"WOW!! ....all of a sudden my login doesn't work. Even though I'm 100% positive it is correct. This morning my app asks me to login? Why? This hasn't happened before, so obviously you are having some problems. Just found an email in my account telling me to change my password because of 'suspicious behaviour'.... yeah because logging into Spotify on my Xbox is suspicious!? Thanks for the stress this morning, didn't need that. I won't be renewing....my way of teaching you a lesson.",1,0
126,The best music app ever I have seen,5,0
127,No option to delete a song on an album. No option to download one track on an album and no option to shuffle all your music library without creating a playlist or liking ALL your music.,3,0
128,Everything is perfect... Just Add Light Theme,4,0
129,Why this app show no internet available when both phone and wifi data is working. I already Fred up with adds now this happens all the time i want to search for song.,2,0
130,cant listen to downloaded stuff when offline,2,0
131,JAMMIN' up in HYUH! Old school hardcore and thrash I haven't heard in years. Return to my youth? YES PLEASE !,5,0
132,NA,,
133,Like that is has Everything I like to listen to. And with no commercial even better. Even the more like this are songs I've been wanting and not knowing the name brought some out! Thanks Spotify!,5,0
134,An amazing music experience,4,0
135,"usually I love the app, but I'm having the same problems everyone else is reporting. Random pauses, stops playing and doesn't restart, and currently I can't view the song or podcast I'm currently playing so I can't pause or skip back and forth. It's fairly unusable at this stage which isn't acceptable for a paid service.",1,2
136,"I logged out on my acc but when I tried to open it to log in, it won't open.. all I see is the logo",3,0
137,His voice is so sweet and hearable,4,0
138,"This will always be my favorite platform to listen to music on. I don't like to subscribe to alot of things, but this one is a must have.",5,0
139,I know ads are the cost to free use And yes thats all right But 3 ads straight back to back Like for 1 and a hlaf minutes sometimes Don't you think that's a little much ? And even the volume increases just for the Ads.,1,0
140,It always crashing down; unable to play and just stop working everytime I use it,1,0
141,I can't listen to my DOWNLOADED playlist while I'm offline. So what's the point of this feature? Disappointed..,3,0
142,"Android user - there are loads of glitches with this app... player bar disappears, shuffle button missing....sort it out please",2,0
143,"Improve the IA to recommend songs and to find similar songs and it'll be the best music app, YouTube is better on that, on everything else, Spotify is the king!",5,0
144,i hav any music that i like it is superð,5,0
145,Worst app always says I'm offline and never showed any song or podcast,1,1
146,"I had amazon premium music family package and it was good. Everyone could listen to whatever they liked on their respective alexas in their rooms by just asking to play, no problem. We now have spotify premium family and the alexa integration is poor. It just doesn't like spotify. It just stops playing all of the time , you can't play on different alexa devices at the same time just by asking. Why isn't the integration better?",1,7
147,Can't play Spotify when on WiFi,1,1
148,"Love Spotify, and usually this app is the best, but as others have stated; the control buttons disappear and podcasts stop for no reason, which is only fixed by deleting and reinstalling the app. First world problems for sure, but highly annoying nonetheless, especially when paying for prime.",2,1
149,"I'm deleting this app, for the following reasons: This app now has a failing business model. Whether streaming services like it, or not: the consumer doesn't want to pay for music they can't fully own, and 6 ads successively, upon logging in, before a single song, is too much. Closed the app during ad number 6, and I'm more patient than most. If those are the only ways you can profit: you've already peaked. All that's left is your decline.",1,318
150,"It's a great app and the best mp3 music app I have ever used but there is one problem that, why can't we play some songs or find some songs? despite this the app is wonderful I recommend it. it's just the best.",5,0
151,"Still extremely slow when changing storage to external sd card.. I'm convinced this is done on purpose, spotify knows of this issue and has done NOTHING to solve it! Over time I have changed sd cards, each being faster in read, write speeds(all samsung brand). And please add don't like song so it will never appear again in my searches or playlists.",3,16
152,I love the selection and the lyrics are provided with the song you're listening to!,5,0
153,The player controls sometimes disappear for no reason. App restart forgets what I was playing but fixes the issue.,3,7
154,Dear Spotify why do I get songs that I didn't put on my playlist??? And why do we have shuffle play?,1,1
155,na,,
156,Really buggy and terrible to use as of recently,1,1
157,This pop-up Get the best Spotify experience on Android 12 is too annoying. Please let's get rid of this.,4,0
158,Please ignore previous negative rating. This app is super great. I give it five stars+,5,1
159,"Great music service, the audio is high quality and the app is easy to use. Also very quick and friendly support.",5,2
